S.No,Article Title,Publication Year,Authors,Study Objectives,Reported Challenges,Reported Limitations,Dataset Name,Dataset Size,Performance Metrics,Model Used,Methods Employed,Techniques Applied,Applications,Tasks Addressed,Research Gaps in Conversational AI,Gap-Oriented Critical Remarks
1,A Corpus for Amharic-English Speech Translation: The Case of Tourism Domain,2017,"Michael Melese Woldeyohannis1(B), Laurent Besacier2, and Million Meshesha","To collect, translate, and record speech data for Amharic-English speech translation in the tourism domain.Develop an Amharic speech corpus and construct an Amharic-English parallel text corpus. Facilitate speech translation research for under-resourced languages, specifically Amharic, using data from the tourism domain.",Lack of existing Amharic speech and text corpus for speech translation purposes.Lack of standardized Amharic-English text and speech corpora for speech translation. High cost and complexity of preparing annotated corpora for under-resourced languages. Limited digital resources in tourism and other domains for Amharic.,The study is limited by the under-resourced nature of the Amharic language and the absence of standardized corpora.Domain-specific text limits generalizability to other contexts. Minimal reduction in vocabulary size due to normalization during translation. Lack of standard sentence length metrics for Amharic.,Amharic-English parallel corpus and read-speech corpus.,"19,972 Amharic-English parallel sentences and 7.43 hours of read-speech data from 8,112 sentences.",Sentence length ranges: Amharic: 1–40 words (average 5–6 words). English: 1–63 words (average 7–8 words). Word frequency: Amharic: 62.7% of words occur once. English: 44.2% of words occur once.,,,,"Speech translation in the tourism domain, facilitating communication between tourists and locals.Development of Amharic-English speech translation systems for the tourism industry. Bridging communication gaps for international tourists in Ethiopia.","Collecting and translating speech data, creating a parallel corpus for machine translation.Transliteration of Amharic text into Unicode for machine processing. Speech recognition and translation of tourism-related expressions.","The need for speech translation research in under-resourced languages like Amharic, which has not been adequately addressed.Absence of comprehensive Amharic language resources for AI models. Lack of datasets supporting speech translation for tourism contexts.","The study highlights the necessity for standardized corpus preparation to evaluate progress in speech translation for under-resourced languages.While the corpus addresses data scarcity for the tourism domain, broader linguistic resources are required for other applications. Future research could enhance the corpus's scope by including diverse domains and informal text patterns."
2,A New Amharic Speech Emotion Dataset and Classification Benchmark,2022,"Ephrem Afele Retta, Eiad Almekhlafi, Richard Sutcliffe, Mustafa Mhamed Abdalaa, Haider Ali, Jun Feng","To create the first Amharic Speech Emotion Recognition (SER) dataset, named ASED. To evaluate feature extraction methods and develop an efficient SER model (VGGb). To facilitate SER research for Amharic and compare it with datasets in other languages like English and German.",Limited availability of Amharic SER datasets. The complexity of Amharic's morphology and dialectal variations. Difficulty in achieving accurate emotion classification across languages and dialects.,"Dataset limited to five emotions (neutral, fearful, happy, sad, angry). Data collection relied on simulated emotions, which may not fully capture natural expressions.","Amharic Speech Emotion Dataset (ASED): Covers four dialects and includes 2,474 recordings.","65 speakers (40 male, 25 female) contributed 2,474 recordings. Recordings range from 2 to 4 seconds.","VGGb achieved 90.73% accuracy on ASED using MFCC features. Comparative models: ResNet50 (91.13%), AlexNet (81.82%), and LSTM (66.94%).",,,,"Enhancing emotion recognition systems for call centers, entertainment, online learning, and healthcare.",Emotion classification using audio data. Benchmarking SER systems for under-resourced languages.,Lack of SER datasets and benchmarks for Amharic. Need for exploring diverse emotions and naturalistic data in SER systems.,"Current datasets focus on simulated emotions, limiting the natural representation of speech. Future research should address emotional nuances in real-world contexts and include more varied emotions."
3,Acoustic Characterization of Amharic Vowel Sound Units,2019,"Tessfu Geteye Fantaye
Junqing Yu
Tulu Tilahun Hailu","To present the acoustic characterization of Amharic vowel sound units, investigating both static and dynamic behaviors of the vowels, and to develop an acoustic vowel space compared to the articulatory vowel space developed by IPA",The study discusses challenges related to coarticulation effects on vowels and segmentation challenges when segmenting vowels,Reported Limitations: Not explicitly mentioned in the provided text.,Dataset: The dataset consists of a text corpus and a speech corpus prepared for the characterization of the seven distinctive vowels of Amharic,"The total distinct working text corpus size is 77, with 1540 utterances recorded",,,,,he findings can be used for synthetic vowel sound production for Amharic vowels,"Characterization of vowel sound units, analysis of formant frequencies, and investigation of vowel duration .",Contextual Research Gaps with Conversational AI: Not explicitly mentioned in the provided text.,Gap-oriented Critical Remarks: Not explicitly mentioned in the provided text.
4,A Twitter Sentiment Analysis Benchmark for African Languages ,2023,"Shamsuddeen Hassan Muhammad, Idris Abdulmumin, Abinew Ali Ayele, Nedjma Ousidhoum, David Ifeoluwa Adelani6, Seid Muhie Yimam, Ibrahim Sa’id Ahmad, Meriem Beloucif , Saif Mohammad, Sebastian Ruder, Oumaima Hourrane, Pavel Brazdil, Felermino Dário Mário António Ali, Davis Davis, Salomey Osei, Bello Shehu Bello, Falalu Ibrahim, Tajuddeen Gwadabe, Samuel Rutunda, Tadesse Belay, Wendimu Baye Messelle, Hailu Beshada Balcha, Sisay Adugna Chala18, Hagos Tesfahun Gebremichael, Bernard Opoku, Steven Arthur"," To introduce AfriSenti, a collection of sentiment datasets for African languages, and to enable sentiment analysis research in under-represented languages.","Limited support for African languages by the Twitter API, difficulties in data collection and annotation, code-mixing, digraphia, and the presence of sarcasm in tweets.","The dataset includes many code-mixed tweets, and there are challenges in accurately categorizing sentiment due to ambiguous tweets and the presence of multiple languages within the same region.","AfriSenti, consisting of 14 sentiment datasets of 110,000+ tweets in 14 African languages."," 110,000+ tweets",Accuracy scores and F1 scores,,,,"Sentiment analysis for African languages, enabling the study of sentiment and contemporary language use in African languages.","Sentiment analysis, polarity classification (positive, negative, neutral).",The transcript does not contain specific information on contextual research gaps with conversational AI.,The transcript does not contain specific gap-oriented critical remarks.
5,AI4D - African Language Program ​,2021,"Kathleen Siminyu, Godson Kalipe, Davor Orlic, Jade Abbott, Vukosi Marivate, Sackey Freshia, Prateek Sibal, Bhanu Neupane, David I. Adelani, Amelia Taylor, Jamiil Toure ALI, Kevin Degila, Momboladji Balogoun, Thierno Ibrahima DIOP, Davis David, Chayma Fourati, Hatem Haddad, Malek Naski ​","To incentivize the crowd-sourcing, collection, and curation of language datasets for African languages, support research fellows to create annotated datasets for NLP tasks, and host competitive Machine Learning challenges based on these datasets. ​","Lack of standardized grammar or orthographic rules, scarcity of existing resources, intellectual property issues, scarcity of expert language professionals, reluctance of data holders to share data, and lack of commitment from partners. ​","The document does not explicitly mention limitations, but challenges such as the scarcity of resources and lack of standardization can be inferred as limitations.",The program created 9+ open-source African language datasets annotated for various ML tasks. ​,The document does not specify the exact size of each dataset.,"Metrics include Log Loss, Accuracy, BLEU, and WER.",,,,"NLP solutions for African languages, including machine translation, text classification, named entity recognition, and more. ​","Machine Translation, Text-to-Speech, Sentiment Analysis, Keyword Spotting, Document Classification. ​","The document does not explicitly mention conversational AI gaps, but the lack of datasets and resources for African languages can be inferred as a gap.","The document highlights the need for more diverse data, standardized grammar and orthographic rules, and the importance of addressing intellectual property issues and the scarcity of expert language professionals."
6,Amharic Language Image Captions Generation Using Hybridized Attention-Based Deep Neural Networks ,2023,Rodas Solomon and Mesfn Abebe ,To develop a hybrid model that generates image captions in Amharic using CNNs and Bi-GRUs with attention mechanisms to enhance caption semantic accuracy. ,"The preprocessing of data is particularly challenging when working with the Amharic language, requiring specific language-based rules and removal of irrelevant words and characters","The study does not explicitly mention limitations, but the challenges of data preprocessing imply potential limitations in model training effectiveness due to language-specific complexities. ",Flickr8k and BNATURE datasets,"The study uses a dataset of 40,000 sentences",Specific performance metrics are not detailed in the search results. ,,,,"The model is aimed at automatic generation of image captions in Amharic, which can be applied in various sectors like education and automated content generation.",The primary task is generating image captions from visual data in the Amharic language. ,The search results do not provide explicit gaps related to conversational AI. ,"The study implies a gap in existing methodologies for generating captions in languages like Amharic, which may not have sufficient resources compared to more widely spoken languages. "
7,Amharic Abstractive Text Summarization,2020,"Amr M. Zaki, Mahmoud I. Khalil, Hazem M. Abbas","To develop a deep learning model tailored for Amharic abstractive text summarization, addressing challenges of low-resource languages and creating a custom word-embedding model for Amharic.","Amharic is a low-resource language with limited datasets available. No pre-trained word embedding models existed for Amharic, necessitating the creation of one. Difficulty in scraping and collecting a dataset for text summarization.","The small size of the Amharic dataset compared to English datasets, impacting model performance. Discrepancy in results compared to models trained on larger datasets like CNN/DailyMail.",Built by scraping data from seven Amharic news websites.,"Scraped over 50,000 articles; utilized approximately 19,000 articles with long titles for summarization tasks.","ROUGE-1: 20.51, ROUGE-2: 08.59, ROUGE-L: 14.76, BLEU: 0.3311",,,,Text summarization for Amharic articles. Enriching the African NLP community with custom models and datasets.,Abstractive text summarization. Evaluation using n-gram overlap metrics like ROUGE and BLEU.,Lack of resources for Amharic and similar African languages. Insufficient cross-lingual transfer methods tailored for small datasets.,The work highlights the challenge of small datasets and the potential for using pre-trained models like BERT with cross-lingual transfer to improve performance. Suggests the need for community efforts in building larger and more diverse datasets for low-resource languages like Amharic.
8,Amharic Adhoc Information Retrieval System Based on Morphological Features,2022,"Tilahun Yeshambel, Josiane Mothe, Yaregal Assabie","To explore the impact of morphological features on Amharic IR systems, compare root-based and stem-based text representation, and develop a standard test collection with resources like stopwords lists and annotated corpora.","Amharic's complex morphology and limited availability of tools, annotated corpora, and standard reference collections hinder progress in IR system development.",The lack of comprehensive low-level NLP tools for Amharic limits automated corpus annotation. Existing tools are prototypes and not fully operational.,Morphologically annotated corpora and compiled stopwords list for Amharic.,Not explicitly mentioned; emphasizes the creation of standard test collections.,Uses standard TREC-like evaluation measures; specific metrics not detailed.,,,,Enhanced information retrieval for Amharic and broader applications in other morphologically complex languages.,Adhoc information retrieval.,Limited tools and resources for under-resourced languages like Amharic. Morphological complexities increase challenges in NLP tasks.,"The study calls for further development of NLP tools, larger annotated datasets, and IR evaluation frameworks. Highlights the need for comprehensive linguistic resources for under-resourced languages."
9,Amharic Language Image Captions Generation Using Hybridized Attention-Based Deep Neural Network,2023,"Rodas Solomon, Mesfn Abebe","To develop a hybridized deep learning model that generates semantically meaningful image captions in the Amharic language, using a combination of computer vision and NLP techniques.",Gap between visual and textual features in existing models. Lack of resources and standard datasets for Amharic. Computational complexity of handling bidirectional information.,"Increased model complexity due to hybridized architecture. Dependency on dataset translations, which may introduce inaccuracies. Limited generalization to other languages or diverse cultural datasets.","Flickr8K and BNATURE datasets, translated into Amharic.","16,000 images (8,000 in each dataset), each annotated with five captions.","BLEU scores: 1G-BLEU: 61.6, 2G-BLEU: 50.1, 3G-BLEU: 43.7, 4G-BLEU: 38.8",,,,Tools for visually impaired individuals. Image-based content generation for Amharic language applications.,Image caption generation in Amharic.,Limited exploration of multimodal tasks in Amharic and other low-resource languages. Challenges in integrating cross-lingual or multilingual frameworks for seamless conversational AI.,"Highlights the need for larger, more culturally diverse datasets. Suggests future research on reducing computational complexity while maintaining semantic accuracy."
10,Amharic OCR: An End-to-End Learning,2020,"Birhanu Belay, Tewodros Habtegebrial, Million Meshesha, Marcus Liwicki, Gebeyehu Belay, Didier Stricker",To introduce an end-to-end Amharic text-line image recognition approach based on recurrent neural networks.,"Recognition of visually similar characters, underrepresentation of Amharic in NLP, and challenges in existing OCR systems for indigenous scripts.","Limited public datasets for training, previous methods focused primarily on character-level recognition which is time-consuming and less accurate.",ADOCR (Amharic Optical Character Recognition dataset),"337,337 Amharic text-line images",Character Error Rate (CER),,,,Optical Character Recognition (OCR) for Amharic text in various domains,Text-line image recognition and transcription,Lack of effective OCR systems for indigenous scripts like Amharic in NLP and limited research on end-to-end learning models for such scripts.,"The study highlights the need for more extensive datasets and improved recognition techniques for Amharic, suggesting that further research is required to bridge the existing gaps."
